helo	#,NP,5 
cage	#,NP,1 
clara	#,NP,2 
valter	#,NP,1 
jadson	#,NP,1 
recordtv	#,NP,1 
redetv	#,NP,1 
romero	#,NP,1 
turano	#,NP,1 
deivinho	#,NP,1 
ragnar	#,NP,1 
harumi	#,NP,1 
julieee	julie,NP,1 
munk	#,NP,1 
sangalo	#,NP,1 
almeida	#,NP,2 
clanessas	#,NP,1 
grossi	#,NP,2 
lanes	#,NP,1 
luka	#,NP,1 
mara	#,NP,1 
minerato	#,NP,1 
peloso	#,NP,1 
tet	#,NP,1 
cleo	#,NP,1 
gagliasso	#,NP,1 
juliana	#,NP,2 
karina	#,NP,1 
knust	#,NP,1 
lancellotti	#,NP,1 
martinelli	#,NP,2 
paes	#,NP,2 
pires	#,NP,1 
stelmann	#,NP,1 
vicente	#,NP,1 
bangtan	#,NP,1 
bred	#,NP,1 
evan	#,NP,1 
hamburgo	#,NP,1 
novo	#,NP,1 
peters	#,NP,1 
s01ep1	#,NP,1 
carrie	#,NP,1 
dahlen	#,NP,2 
lannes	#,NP,2 
leblon	#,NP,1 
maison	#,NP,1 
music	#,NP,1 
natalia	#,NP,2 
sm	#,NP,1 
subway	#,NP,1 
alesie	#,NP,1 
captcha	#,NP,1 
celo	#,NP,2 
brad	#,NP,1 
bryan	#,NP,1 
debbie	#,NP,1 
gmbh	#,NP,1 
iveco	#,NP,1 
lkwlog	#,NP,1 
red	#,NP,1 
road	#,NP,1 
stralis	#,NP,1 
taehyung	#,NP,1 
bohemian	#,NP,1 
degrassi	#,NP,1 
lelo	#,NP,1 
mama	#,NP,1 
netflix	#,NP,1 
next	#,NP,1 
rhapsody	#,NP,1 
sammy	#,NP,1 
wenger	#,NP,1 
dirt	#,NP,2 
driver	#,NP,1 
grid	#,NP,1 
lisboa	#,NP,1 
race	#,NP,1 
showdown	#,NP,1 
aladim	#,NP,1 
ben	#,NP,1 
worth	#,NP,1 
rafaela	#,NP,1 
bravox	#,NP,2 
pioneer	#,NP,1 
bebel	#,NP,1 
carol	#,NP,1 
double	#,NP,1 
dragon	#,NP,1 
klee	#,NP,1 
swift	#,NP,1 
taylor	#,NP,1 
empoderades	#,NP,1 
rodrigo	#,NP,2 
susan	#,NP,1 
buda	#,NP,1 
clarinha	#,NP,1 
allianz	#,NP,1 
angeles	#,NP,1 
bakemeier	#,NP,1 
christian	#,NP,1 
francisco	#,NP,1 
hirmer	#,NP,1 
kay	#,NP,1 
san	#,NP,2 
tobias	#,NP,1 
vagner	#,NP,1 
dead	#,NP,1 
gingerbread	#,NP,1 
left	#,NP,1 
lenovo	#,NP,1 
max	#,NP,1 
p720h	#,NP,1 
perfect	#,NP,1 
shutter	#,NP,1 
eloiza	#,NP,1 
jessica	#,NP,1 
oliver	#,NP,1 
rayane	#,NP,1 
walcott	#,NP,1 
anem	#,NP,1 
cannabis	#,NP,1 
hold	#,NP,1 
rbs	#,NP,1 
tight	#,NP,1 
yakuza	#,NP,1 
buster	#,NP,1 
multi	#,NP,1 
wave	#,NP,1 
verzache	#,NP,1 
zini	#,NP,1 
drake	#,NP,1 
elisa	#,NP,1 
exynos	#,NP,1 
quad	#,NP,1 
araujo	#,NP,1 
emilky	#,NP,1 
juca	#,NP,1 
nikity	#,NP,1 
seara	#,NP,2 
shop	#,NP,1 
ace	#,NP,2 
