dao	dão,O,5 
aniversario	aniversário,O,2 
brincs	#,IN,1 brincadeira,IN,1 
comeca	começa,O,2 
comecar	começar,O,1 
decepcao	decepção,O,1 
educacao	educação,O,1 
equanto	enquanto,O,1 enquanto,AB,1 
ignorancia	ignorância,O,1 
inscrevir	inscrevi,O,1 
ola	olá,O,1 olá,OC,3 
permido	permitido,O,1 
suburbio	subúrbio,O,1 
tarjando	#,IN,1 
usuarios	usuários,O,2 
dp	depois,AB,1 
ganharao	ganharão,O,1 
loko	louco,O,1 
men	homem,IN,1 
aproveitemm	aproveitem,O,1 
credooo	#,IN,1 
elasticos	elásticos,O,1 
elle	ele,O,1 
gov	governo,AB,1 
mn	man,IN,1 
continuee	#,IN,1 
convocadaa	#,IN,1 
emagreceuu	#,IN,1 
gordaaa	#,IN,1 
kiloos	#,IN,1 
maezonaa	#,IN,1 
migaaa	#,IN,1 
podeee	#,IN,1 
regionaiis	#,IN,1 
aff	#,IN,1 
bebada	bêbada,O,2 
instasnaps	#,IN,1 
xau	tchau,IN,2 
coisica2	#,IN,1 
scrock	#,IN,1 
aaah	#,IN,1 
acjo	acho,O,1 
crushs	#,IN,1 
fuder	foder,O,2 
fudido	fodido,O,1 
muie	mulher,IN,1 
rpg	#,AB,1 
caprichete	#,IN,1 
caraia	#,IN,1 
concusrso	concurso,O,1 
flopar	#,IN,1 
juntaro	#,IN,1 
ronczzzzzzzzzzzzzz	#,IN,1 
het	#,IN,1 
lovezin	#,IN,1 
monstra	#,IN,1 
poowww	#,IN,1 
rrrrrrrroubou	#,IN,1 
sdd	saudade,AB,6 
zoas	#,IN,1 
taoooo	#,IN,1 
tcd	#,IN,3 
twitadas	#,IN,1 
zoeirasssss	#,IN,1 
indice	índice,O,3 
missao	missão,O,2 
patetico	patético,O,1 
rejeicao	rejeição,O,6 
s	sim,AB,2 se,AB,3 sem,AB,1 
tera	terá,O,1 
aux	auxiliar,AB,1 
binzinho	bonzinho,O,1 
chancr	chance,O,1 
felizona	#,IN,1 
sgt	sargento,AB,1 
showzinho	#,IN,1 
analogica	analógica,O,2 
arrempedi	arrependi,O,1 
caracteristiva	característica,O,1 
dinamica	dinâmica,O,3 
esperiencia	experiência,O,1 
jogabilidades	jogabilidade,IN,2 
movel	móvel,O,2 
muitoooooo	muito,IN,1 
pos	pós,OC,1 
trouxes	trouxe,O,2 
umido	úmido,O,1 
usalos	usa-los,O,1 
brasilis	#,IN,1 
duzia	dúzia,O,1 
kcete	cacete,IN,1 
porr	porrada,O,1 
rodiado	rodeado,O,1 
tel	telefone,AB,1 
desinstalar	#,IN,1 
jega	#,IN,1 
adorooooo	#,IN,1 
estatua	estátua,OC,1 
pacero	parceiro,O,1 
boninhadas	#,IN,1 
cell	céu,IN,1 
dells	deus,IN,1 
encomode	incomode,O,1 
historia	história,OC,1 história,O,1 
sensualizand	sensualizando,O,1 
telespetador	telespctador,O,1 
frecuras	frescuras,O,1 
muuiiiiiiiiiiiiiito	muito,IN,1 
periodo	período,O,1 
1oculos	1 óculos,O,1 
2hdmi	2 hdmi,O,1 
2usbs	2 usb,O,1 
4hdmi	4 hdmi,O,1 
adquir	adquirir,O,1 
basico	básico,O,1 
dispensavel	dispensável,OC,1 
fabricas	fábricas,OC,1 
mlhores	melhores,O,1 
numeros	números,O,1 
ohar	olhar,O,1 
ois	pois,O,1 
parametros	parâmetros,O,1 
preco	preço,O,1 
utilizacao	utilização,O,1 
amorzinho	amor,IN,1 
aviona	avião,IN,1 
democratico	democrático,O,1 
mamae	mamãe,O,1 
mamy	mãe,IN,2 
minimo	menino,IN,1 mínimo,O,1 
querereia	quereria,O,1 
tipico	típico,O,2 
vesguinho	vesgo,IN,1 
amoooor	amor,IN,1 
comecinho	#,IN,1 
cvsando	conversando,AB,1 
musicas	músicas,OC,2 músicas,O,1 
namoral	na moral,O,2 
ahh	#,IN,2 
belissimo	belíssimo,O,1 
colocacao	colocação,O,1 
concerteza	com certeza,O,1 
impressao	impressão,O,2 
instalacao	instalação,O,1 
opcoes	opções,O,2 
pol	polegada,AB,1 
webcontinental	web continental,O,1 
fav	favorito,AB,2 
homao	#,IN,1 
hra	hora,AB,1 
quiz	quiser,O,1 
quizer	quiser,O,1 
tudinho	#,IN,1 
apartir	a partir,O,1 
cendo	sendo,O,1 
contrarte	constraste,O,1 
esiste	existe,O,1 
exigencia	exigência,O,1 
fuciona	funciona,O,2 
fucionou	funcionou,O,1 
imajem	imagem,O,1 
megas	#,IN,1 
proprio	próprio,O,2 
assimetricos	assimétricos,O,1 
buceta	#,IN,1 
cao	#,O,1 
composi	#,O,1 
descobreeeee	#,IN,1 
homi	homem,IN,1 
horrorrr	#,IN,1 
alg	alguém,AB,1 
dm	direct message,AB,1 
questao	questão,O,3 
simserament	sinceramente,O,1 
bab	#,O,1 
funiquem	futriquem,O,1 
pgm	programa,AB,1 
quice	#,O,1 
sofa	sofá,O,1 
agoooora	agora,IN,1 
dzr	dizer,AB,2 
flo	falo,AB,1 
awn	#,IN,1 
fofinhosss	#,IN,1 
tadin	#,IN,1 
vtnc	vai tomar no cu,AB,1 
fofuchos	#,IN,1 
granda	grande,O,1 
ham	#,IN,1 
intercambio	intercâmbio,OC,1 
manha	manhã,OC,1 
qr	quero,AB,1 quer,AB,1 
ryca	#,IN,1 
sacoooooo	#,IN,1 
sebar	secar,O,1 
entreoutras	entre outras,O,1 
funcao	função,O,1 
gravissimo	gravissímo,O,1 
initilizou	inutilizou,O,1 
naofunciona	não funciona,O,1 
panel	painel,O,1 
poi	pois,O,1 
pricipal	principal,O,1 
surporta	suporta,O,1 
bebado	bêbado,O,1 
deuso	deus,IN,1 
novis	novidade,IN,1 
cosegue	consegue,O,1 
ed	educação,AB,1 
enxergan	enxergam,O,1 
felizao	felizão,O,1 
fisica	física,O,3 
gravaaaaar	gravar,IN,1 
mimmmmm	mim,IN,1 
ridiculo	ridículo,O,1 
sabeeeee	sabe,IN,1 
vcccc	você,IN,2 
crocolilagem	crocolilagem,O,1 
falsiane	falso,IN,1 
cancer	câncer,O,1 
doi	dói,O,1 
fudder	foder,O,1 
potaquiospariu	#,IN,1 
putta	puta,O,1 
vagabba	vagaba,O,1 
ceis	vocês,O,1 
epis	episódios,AB,1 
euc	eu,O,1 
inutil	inútil,O,2 
snap	snapchat,AB,1 
block	bloquear,AB,1 
fizessemos	fizéssemos,O,1 
foraaaaaaaaaaaaaaaa	fora,IN,1 
obrigacao	obrigação,O,1 
sarcastica	sarcástica,O,1 
adoruuuu	adoro,IN,1 
bby	baby,AB,1 
brigadaaaa	obrigada,IN,1 
faiz	faz,O,1 
sairem	saírem,O,1 
brazil	brasil,O,1 
cvs	conversar,O,1 
hinooooo	hino,IN,1 
insulficiente	insuficiente,O,1 
lyndo	lindo,O,1 
momis	mãe,IN,1 
oce	você,AB,1 
ozamigo	#,IN,1 
rbd	rebelde,AB,1 
surtadinho	louco,IN,1 
traida	traída,O,1 
cliche	clichê,O,1 
dae	daí,O,1 
fugindoo	fugindo,O,1 
problems	problemas,O,1 
sznha	sozinha,AB,1 
fod	foda,O,1 
fodiii	fodi,O,1 
kra	cara,IN,1 
pessado	pesado,O,1 
ameiiii	amei,IN,1 
concorrencia	concorrência,O,2 
deacho	acho,O,1 
decarega	descarrega,O,1 
fabrica	fábrica,OC,1 
muinto	muito,O,1 
publico	público,OC,3 
resursos	recursos,O,1 
roduto	produto,O,1 
acdemia	academia,O,1 
achu	acho,O,1 
derrepente	#,O,1 
kpop	k-pop,O,1 
maisssssssss	mais,IN,1 
vtmnc	#,AB,1 
alguam	alguma,O,1 
curtiuu	curtiu,O,1 
definiuu	definiu,O,1 
delees	deles,O,1 
depoiis	depois,O,1 
elee	ele,O,2 
falaa	fala,O,1 
faloo	falo,O,1 
foruum	fórum,O,1 
fuii	fui,O,1 
hojee	hoje,O,1 
moreee	amor,IN,1 
morrendoo	morrendo,O,1 
preferenciaa	preferência,O,1 
siiim	sim,IN,1 
maravilhosaaa	maravilhosa,IN,1 
opaaa	#,IN,1 
slc	#,AB,1 
3x	#,AB,1 
bffs	#,AB,1 
boladona	chateada,IN,1 
deuuus	deus,IN,1 
meuuuu	meu,IN,1 
perdao	perdão,O,1 
propria	própria,O,1 
serumaninho	#,IN,1 
vamoooooooooooo	vamos,IN,1 
caminah	caminhar,O,1 
elaa	ela,O,1 
mia	minha,O,1 
pradronizar	padronizar,O,1 
graca	graça,O,1 
parachoque	para-choque,O,1 
paralama	para-lama,O,1 
watsapp	whatsapp,O,1 
autura	altura,O,1 
cornetar	xingar,IN,2 
fuuuuii	fui,IN,1 
imbcil	imbecil,O,1 
merd	merda,O,1 
peguete	namorado,IN,1 
psico	psicopata,AB,1 
put	puta,O,1 
3d	tridimensional,AB,1 
analogico	analógico,O,2 
aprelhos	aparelhos,O,1 
incoveniente	inconveniente,O,1 
oseco	seco,O,1 
preferencias	preferência,O,1 
baraulho	barulho,O,1 
cosinha	cozinha,O,1 
deposito	depósito,OC,1 
entrga	entrega,O,1 
mao	mão,OC,1 
medias	médias,OC,1 
oleo	óleo,O,1 
opniao	opinião,O,1 
potencia	potência,OC,3 
usufluir	usufruir,O,1 
vdro	vidro,O,1 
descidi	decidi,O,1 
fixacao	fixação,O,1 
fotograficas	fotográficas,O,1 
maquinas	máquinas,OC,2 
tres	três,O,2 
ahazo	arrasou,IN,1 
materia	matéria,O,3 
sb	sabe,AB,2 
showzao	showzão,O,1 
vrdd	verdade,AB,1 
blilho	brilho,O,1 
concelho	conselho,O,1 
debum	de um,O,1 
numero	número,OC,1 
optica	óptica,O,1 
priciparnte	principalmente,O,1 
retante	restante,O,1 
silencio	silêncio,O,1 
buscopam	buscopan,O,1 
remedio	remédio,O,1 remédio,OC,1 
enfileiras	enfileirar,O,1 
espereme	espreme,O,1 
3g	terceira geração,AB,1 
animacao	animação,O,1 
beem	bem,O,1 
clic	clique,O,1 
deslunbrada	deslumbrada,O,1 
escolhee	escolhe,O,1 
esssas	essas,O,1 
faco	faço,O,1 
obrigaaddooo	obrigado,IN,1 
satisfatorio	satisfatório,O,1 
tm	tem,O,1 
universitario	universitário,O,1 
universitarios	universitários,O,1 
ambiwoox	ambi-woox,O,1 
chao	chão,O,1 
estave	estava,O,1 
limpissimo	limpíssimo,O,1 
queriamos	queríamos,O,1 
recomedo	recomendo,O,1 
ruido	ruído,O,1 
trablalho	trabalho,O,1 
adapatador	adaptador,O,1 
gratis	grátis,O,2 
imbutido	embutido,O,1 
limpesa	limpeza,O,1 
obtem	obtém,O,1 
relacao	relação,O,1 
uteis	úteis,OC,1 
exa	essa,O,1 
niver	aniversário,AB,1 
pokemon	pokémon,O,1 
raba	nádegas,IN,1 
tar	estar,AB,2 
scrrrrr	socorro,IN,1 
sndo	sendo,O,1 
boyzinho	menino,IN,1 
carater	caráter,O,1 
automaticos	automáticos,O,2 
qlq	qualquer,AB,1 
qualdiade	qualidade,O,2 
cntg	contigo,O,1 contigo,AB,1 
india	índia,O,1 
pfv	por favor,AB,1 
churras	abreviação,AB,1 
pao	pão,O,1 
entaum	então,IN,1 
pareo	páreo,O,2 
pepeca	vagina,IN,1 
bonitao	bonitão,O,1 
grp	grupo,AB,1 
preucupado	preocupado,O,1 
deizer	dizer,O,1 
ducarai	do caralho,IN,1 
levvando	levando,O,1 
massssss	mas,IN,1 
mew	meu,IN,1 
muuuuuuuito	muito,IN,1 
panac	panaca,O,1 
sr	senhor,AB,1 
edredon	edredom,O,1 
unilevere	unilever,O,1 
caraiiiii	caralho,IN,1 
problemaaaa	problema,IN,1 
trist	triste,O,1 
estreesse	estresse,O,1 
iae	e aí,IN,1 
mg	amigo,AB,1 
midia	mídia,O,1 
pouquin	pouquinho,IN,1 
engrassado	engraçado,O,1 
inteligencia	inteligência,O,1 
ma	má,O,1 
optico	óptico,O,1 
portatil	portátil,O,1 
produlto	produto,O,1 
bapho	bafo,O,1 
dala	dela,O,1 
descepcionei	decepcionei,O,1 
espectativas	expectativas,O,1 
le	lê,O,1 
nitida	nítida,O,2 
satisfesz	satisfez,O,1 
smatephone	smartphone,O,1 
aaa	ah,IN,1 
at	et,O,1 
ci	cú,O,1 
jo	só,O,1 
legaall	legal,IN,1 
skaipou	skype,O,1 
atee	até,IN,1 
dormiiiir	dormir,IN,1 
dormiir	dormir,IN,1 
ouu	ou,IN,1 
pensoo	penso,IN,1 
quandoo	quando,IN,1 
quintaa	quinta,IN,1 
raiaar	raiar,IN,1 
implicancia	implicância,O,1 
mubdo	mundo,O,1 
prof	professora,AB,1 
unicas	únicas,O,1 
zap	whatsapp,IN,1 
eficiencia	eficiência,O,2 
email	e-mail,O,4 
meracado	mercado,O,1 
miseros	míseros,O,2 
sofrivel	sofrível,O,4 
telefonico	telefônico,O,4 
grupin	grupinho,AB,1 
krl	karalho,AB,2 
ppr	por,O,1 
idrolatar	idolatrar,O,1 
lokas	loucas,IN,1 
bonis	boninho,O,1 
buzanfam	buzanfão,IN,1 
ct	contigo,AB,1 
drogga	droga,O,2 
eith	eita,O,1 
interesante	interessante,O,1 
k	karalho,AB,1 
marvada	malvada,IN,1 
flw	#,IN,1 
galeraaaa	#,IN,1 
heimmm	#,IN,1 
hepta	heptacampeonato,AB,2 
mlkedaaaa	#,IN,1 
picaaaaa	#,IN,1 
skaaaaate	#,IN,1 
voltau	voltou,O,1 
amoresssss	amores,IN,1 
bosssssta	bosta,IN,1 
caraca	#,IN,1 
dmsss	demais,IN,1 
fodaaa	foda,IN,1 
rolesin	rolezinho,AB,1 
volkswagem	volkswagen,O,1 
acordouu	acordou,IN,1 
boaaa	boa,IN,1 
milionariaaaa	milionária,IN,1 
tardee	tarde,IN,1 
jsto	justo,AB,1 
leganda	legenda,O,1 
arrombdo	arrombado,O,1 
baton	batom,O,1 
feiao	feião,O,1 
poem	põe,IN,1 
encomoda	incomoda,O,1 
miuta	muita,O,1 
atitutude	atitude,O,1 
ciencia	ciência,O,1 
licao	lição,O,1 
mediocre	medíocre,O,1 
neuronios	neurônios,O,1 
nick	nickname,AB,1 
dialogo	diálogo,OC,1 
galere	galera,O,1 
mgk	mágika,AB,1 
coco	cocô,OC,1 
incluido	incluído,O,1 
veterado	veterano,O,1 
combustivel	combustível,O,1 
fics	fanfics,AB,1 
poe	põe,O,1 
poha	porra,IN,1 
h	hoje,AB,1 
somemm	#,IN,1 
componete	componente,O,1 
tatuape	tatuapé,O,1 
bro	brother,AB,1 
dmais	demais,AB,1 
elonqueci	enlouqueci,O,1 
pasa	passa,O,1 
qq	qualquer,AB,1 
cnvs	conversar,AB,1 
educacial	educacional,O,1 
migaa	amiga,IN,1 
oii	oi,IN,1 
pscicologia	psicologia,O,1 
vcss	vocês,IN,1 
belissima	belíssima,O,1 
besteria	besteira,O,1 
cheando	chegando,O,1 
espetetacular	espetacular,O,1 
litium	lithium,O,1 
mbytes	megabytes,AB,1 
posui	possui,O,1 
protudo	produto,O,1 
versatil	versátil,O,1 
di	de,O,1 
nadaaa	nada,IN,1 
tomen	tomem,O,1 
tristeeeee	triste,IN,1 
guela	goela,O,1 
hetero	heterosexual,AB,1 
lgd	ligado,AB,1 
seeeeeenhor	senhor,IN,1 
promo	promoção,AB,1 
saido	saído,O,1 
tiozao	tiozão,O,1 
wue	que,O,1 
analises	análises,OC,1 
cd	cadê,AB,1 
hipoteses	hipóteses,O,1 
lindu	lindo,O,1 
opps	ops,IN,1 
podologa	podóloga,O,1 
brodinhno	brotherzinhos,O,1 
cagaro	cagaram,O,1 
discipulo	discípulo,O,1 
enlouqueeeeeece	enlouquece,IN,1 
montanhaa	montanha,IN,1 
terrivel	terrível,O,1 
conciencia	consciência,O,1 
ingles	inglês,O,1 
mimim	mimimi,O,1 
bahiano	baiano,O,1 
questionavel	questionável,O,1 
reporter	repórter,O,1 
concordsr	concordar,O,1 
fasso	faço,O,1 
gremio	grêmio,O,1 
memso	mesmo,O,1 
ponde	pondé,O,1 
relogio	relógio,O,1 
boaaaaaaaaaaaaaaaaaaaaaaaaa	boa,IN,1 
excelenconte	excelente,O,1 
fotografica	fotográfica,O,1 
grandem	grande,O,1 
millllllllll	mil,IN,1 
peq	pequena,AB,1 
recomendoooo	recomendo,IN,1 
wifi	wi-fi,O,2 
apotar	apostar,O,1 
cheroso	cheiroso,O,1 
flu	fluminense,AB,1 
fodeeeer	foder,IN,1 
hoj	hoje,AB,1 
minino	mínimo,O,1 
nariga	nariz,IN,1 
paciencia	paciência,O,1 
secr	secar,AB,1 
aaaaah	ah,IN,1 
camaaa	cama,IN,1 
dx	deixa,AB,1 
arrenpendimento	arrependimento,O,1 
centifugar	centrifugar,O,1 
centrefuga	centrifuga,O,1 
centrifuga	centrifugar,O,1 
fragil	frágil,O,3 
frequencia	frequência,O,1 
b	bom,AB,1 
fessor	professor,AB,1 
redesss	redes,IN,1 
senhpra	senhora,O,1 
idot	idiot,O,1 
canera	câmera,O,1 
dendro	dentro,O,1 
depedendo	dependendo,O,1 
geito	jeito,O,1 
muio	muito,O,1 
pixil	pixel,O,1 
poco	pouco,O,1 
senssivel	sensível,O,1 
teveria	deveria,O,1 
